model_id,panel,panel_seed,label_order,depmap_column
ACH-000178,0,2075375458166876372,1,ATP5F1C (509)
ACH-000178,0,2075375458166876372,2,SEPSECS (51091)
ACH-000178,0,2075375458166876372,3,IGF1R (3480)
ACH-000178,0,2075375458166876372,4,MRPL53 (116540)
ACH-000178,0,2075375458166876372,5,CCNL1 (57018)
ACH-000178,0,2075375458166876372,6,HEMK2 (29104)
ACH-000178,0,2075375458166876372,7,PTDSS1 (9791)
ACH-000178,0,2075375458166876372,8,SLC38A2 (54407)
ACH-000178,0,2075375458166876372,9,ATP1B3 (483)
ACH-000178,0,2075375458166876372,10,NDUFA8 (4702)
ACH-000178,0,2075375458166876372,11,MRPS16 (51021)
ACH-000178,0,2075375458166876372,12,CAB39 (51719)
ACH-000178,0,2075375458166876372,13,WDR1 (9948)
ACH-000178,0,2075375458166876372,14,NAA20 (51126)
ACH-000178,0,2075375458166876372,15,PDCD7 (10081)
ACH-000178,0,2075375458166876372,16,SQLE (6713)
ACH-000178,0,2075375458166876372,17,PPP1R15B (84919)
ACH-000178,0,2075375458166876372,18,WDR83 (84292)
ACH-000178,0,2075375458166876372,19,ATL2 (64225)
ACH-000178,0,2075375458166876372,20,RHOA (387)
ACH-000178,0,2075375458166876372,21,UFM1 (51569)
ACH-000178,0,2075375458166876372,22,TADA1 (117143)
ACH-000178,0,2075375458166876372,23,NFRKB (4798)
ACH-000178,0,2075375458166876372,24,CCND3 (896)
ACH-000178,0,2075375458166876372,25,MNAT1 (4331)
ACH-000178,0,2075375458166876372,26,NRAS (4893)
ACH-000178,0,2075375458166876372,27,YME1L1 (10730)
ACH-000178,0,2075375458166876372,28,FOXA2 (3170)
ACH-000178,0,2075375458166876372,29,EXOC1 (55763)
ACH-000178,0,2075375458166876372,30,SDHB (6390)
ACH-000178,0,2075375458166876372,31,CEP85 (64793)
ACH-000178,0,2075375458166876372,32,CUL2 (8453)
ACH-000178,0,2075375458166876372,33,SERBP1 (26135)
ACH-000178,0,2075375458166876372,34,DDX39B (7919)
ACH-000178,0,2075375458166876372,35,MRPS25 (64432)
ACH-000178,0,2075375458166876372,36,MRPL35 (51318)
ACH-000178,0,2075375458166876372,37,UBE2C (11065)
ACH-000178,0,2075375458166876372,38,EED (8726)
ACH-000178,0,2075375458166876372,39,SMARCB1 (6598)
ACH-000178,0,2075375458166876372,40,FERMT2 (10979)
ACH-000178,0,2075375458166876372,41,TIMM29 (90580)
ACH-000178,0,2075375458166876372,42,RHEB (6009)
ACH-000178,0,2075375458166876372,43,ANAPC15 (25906)
ACH-000178,0,2075375458166876372,44,MAPK1 (5594)
ACH-000178,0,2075375458166876372,45,MDM4 (4194)
ACH-000178,0,2075375458166876372,46,VPS37A (137492)
ACH-000178,0,2075375458166876372,47,AMBRA1 (55626)
ACH-000178,0,2075375458166876372,48,MIOS (54468)
ACH-000178,0,2075375458166876372,49,POP7 (10248)
ACH-000178,0,2075375458166876372,50,PITRM1 (10531)
ACH-000178,1,13420789181605114532,1,TAMM41 (132001)
ACH-000178,1,13420789181605114532,2,TWNK (56652)
ACH-000178,1,13420789181605114532,3,ARMC5 (79798)
ACH-000178,1,13420789181605114532,4,GEMIN4 (50628)
ACH-000178,1,13420789181605114532,5,PPA2 (27068)
ACH-000178,1,13420789181605114532,6,MFN2 (9927)
ACH-000178,1,13420789181605114532,7,BRCA2 (675)
ACH-000178,1,13420789181605114532,8,CYC1 (1537)
ACH-000178,1,13420789181605114532,9,CUL3 (8452)
ACH-000178,1,13420789181605114532,10,ATP1B3 (483)
ACH-000178,1,13420789181605114532,11,NDUFB3 (4709)
ACH-000178,1,13420789181605114532,12,CDK8 (1024)
ACH-000178,1,13420789181605114532,13,KIF4A (24137)
ACH-000178,1,13420789181605114532,14,MAU2 (23383)
ACH-000178,1,13420789181605114532,15,MYB (4602)
ACH-000178,1,13420789181605114532,16,PFDN1 (5201)
ACH-000178,1,13420789181605114532,17,P2RY6 (5031)
ACH-000178,1,13420789181605114532,18,VRK1 (7443)
ACH-000178,1,13420789181605114532,19,MEN1 (4221)
ACH-000178,1,13420789181605114532,20,DLST (1743)
ACH-000178,1,13420789181605114532,21,ARPC4 (10093)
ACH-000178,1,13420789181605114532,22,NOA1 (84273)
ACH-000178,1,13420789181605114532,23,AHCYL1 (10768)
ACH-000178,1,13420789181605114532,24,KLF5 (688)
ACH-000178,1,13420789181605114532,25,XYLT2 (64132)
ACH-000178,1,13420789181605114532,26,VARS2 (57176)
ACH-000178,1,13420789181605114532,27,BUD13 (84811)
ACH-000178,1,13420789181605114532,28,BCL9 (607)
ACH-000178,1,13420789181605114532,29,NAPG (8774)
ACH-000178,1,13420789181605114532,30,TIMM22 (29928)
ACH-000178,1,13420789181605114532,31,ATP5F1C (509)
ACH-000178,1,13420789181605114532,32,TEN1 (100134934)
ACH-000178,1,13420789181605114532,33,FAM98B (283742)
ACH-000178,1,13420789181605114532,34,MRPS24 (64951)
ACH-000178,1,13420789181605114532,35,FOSL1 (8061)
ACH-000178,1,13420789181605114532,36,OPA1 (4976)
ACH-000178,1,13420789181605114532,37,DARS2 (55157)
ACH-000178,1,13420789181605114532,38,FERMT1 (55612)
ACH-000178,1,13420789181605114532,39,LSM12 (124801)
ACH-000178,1,13420789181605114532,40,NARS2 (79731)
ACH-000178,1,13420789181605114532,41,ZFP36L1 (677)
ACH-000178,1,13420789181605114532,42,RHOA (387)
ACH-000178,1,13420789181605114532,43,YME1L1 (10730)
ACH-000178,1,13420789181605114532,44,MRPS5 (64969)
ACH-000178,1,13420789181605114532,45,NDE1 (54820)
ACH-000178,1,13420789181605114532,46,CTDSPL2 (51496)
ACH-000178,1,13420789181605114532,47,RRAGC (64121)
ACH-000178,1,13420789181605114532,48,RARS2 (57038)
ACH-000178,1,13420789181605114532,49,TYMS (7298)
ACH-000178,1,13420789181605114532,50,KIF14 (9928)
ACH-000178,2,17321698585028354461,1,TUBB3 (10381)
ACH-000178,2,17321698585028354461,2,MTG2 (26164)
ACH-000178,2,17321698585028354461,3,CTNNA1 (1495)
ACH-000178,2,17321698585028354461,4,TCF7L2 (6934)
ACH-000178,2,17321698585028354461,5,MLST8 (64223)
ACH-000178,2,17321698585028354461,6,ATP1B3 (483)
ACH-000178,2,17321698585028354461,7,PITRM1 (10531)
ACH-000178,2,17321698585028354461,8,IRS2 (8660)
ACH-000178,2,17321698585028354461,9,USP1 (7398)
ACH-000178,2,17321698585028354461,10,BRAF (673)
ACH-000178,2,17321698585028354461,11,CRLS1 (54675)
ACH-000178,2,17321698585028354461,12,ZFX (7543)
ACH-000178,2,17321698585028354461,13,ZNF217 (7764)
ACH-000178,2,17321698585028354461,14,TAFAZZIN (6901)
ACH-000178,2,17321698585028354461,15,MIOS (54468)
ACH-000178,2,17321698585028354461,16,MYBBP1A (10514)
ACH-000178,2,17321698585028354461,17,FBXO42 (54455)
ACH-000178,2,17321698585028354461,18,IDH3A (3419)
ACH-000178,2,17321698585028354461,19,PAXIP1 (22976)
ACH-000178,2,17321698585028354461,20,JUN (3725)
ACH-000178,2,17321698585028354461,21,UMPS (7372)
ACH-000178,2,17321698585028354461,22,AMBRA1 (55626)
ACH-000178,2,17321698585028354461,23,TIGD3 (220359)
ACH-000178,2,17321698585028354461,24,SLC20A1 (6574)
ACH-000178,2,17321698585028354461,25,NARS2 (79731)
ACH-000178,2,17321698585028354461,26,SCAP (22937)
ACH-000178,2,17321698585028354461,27,FECH (2235)
